date,exports_usd_m,imports_usd_m,remittances_usd_m,tourism_usd_m,usd_lkr,scenario
2025-04-01,1178.1420673169243,1556.3203008879102,635.0009151152337,362.060824032,296.62319860627235,Baseline
2025-05-01,1199.5367609808293,1594.2098151662785,658.4173522508096,362.060824032,296.71100740447133,Baseline
2025-06-01,1192.333903066037,1576.4832152138006,649.0135581334953,362.060824032,296.73923004127886,Baseline
2025-07-01,1194.7588577279594,1584.7766006493218,652.7900226438236,362.060824032,296.74830108250376,Baseline
2025-08-01,1193.9424588510217,1580.8965423095103,651.2734343370347,362.060824032,296.75121660699796,Baseline
2025-09-01,1194.2173122892038,1582.7118266511568,651.882480201493,362.060824032,296.75215368609014,Baseline
2025-10-01,1194.1247785846451,1581.8625463176072,651.6378938075762,362.060824032,296.7524548727983,Baseline
2025-11-01,1194.1559315021273,1582.2598819131426,651.7361171230607,362.060824032,296.75255167725584,Baseline
2025-12-01,1194.1454433856916,1582.0739885523255,651.6966716757885,362.060824032,296.7525827911886,Baseline
2026-01-01,1194.148974373967,1582.1609587155433,651.7125125512755,362.060824032,296.75259279152164,Baseline
2026-02-01,1194.147785611592,1582.1202697460349,651.7061510227963,362.060824032,296.7525960057299,Baseline
2026-03-01,1194.14818582702,1582.1393060704295,651.7087057455213,362.060824032,296.75259703880903,Baseline
2025-04-01,1178.1420673169243,1556.3203008879102,635.0009151152337,362.060824032,296.62319860627235,LKR Depreciation 10%
2025-05-01,1199.5367609808293,1594.2098151662785,658.4173522508096,362.060824032,299.40838019905743,LKR Depreciation 10%
2025-06-01,1192.333903066037,1576.4832152138006,649.0135581334953,362.060824032,302.13448876930215,LKR Depreciation 10%
2025-07-01,1194.7588577279594,1584.7766006493218,652.7900226438236,362.060824032,304.84143656657204,LKR Depreciation 10%
2025-08-01,1193.9424588510217,1580.8965423095103,651.2734343370347,362.060824032,307.5421699381615,LKR Depreciation 10%
2025-09-01,1194.2173122892038,1582.7118266511568,651.882480201493,362.060824032,310.2408879445488,LKR Depreciation 10%
2025-10-01,1194.1247785846451,1581.8625463176072,651.6378938075762,362.060824032,312.93895241131463,LKR Depreciation 10%
2025-11-01,1194.1559315021273,1582.2598819131426,651.7361171230607,362.060824032,315.6368049658085,LKR Depreciation 10%
2025-12-01,1194.1454433856916,1582.0739885523255,651.6966716757885,362.060824032,318.33458881236595,LKR Depreciation 10%
2026-01-01,1194.148974373967,1582.1609587155433,651.7125125512755,362.060824032,321.03235038355524,LKR Depreciation 10%
2026-02-01,1194.147785611592,1582.1202697460349,651.7061510227963,362.060824032,323.7301047335236,LKR Depreciation 10%
2026-03-01,1194.14818582702,1582.1393060704295,651.7087057455213,362.060824032,326.42785674269,LKR Depreciation 10%
2025-04-01,1178.1420673169243,1556.3203008879102,635.0009151152337,362.060824032,296.62319860627235,LKR Depreciation 20%
2025-05-01,1199.5367609808293,1594.2098151662785,658.4173522508096,362.060824032,302.10575299364353,LKR Depreciation 20%
2025-06-01,1192.333903066037,1576.4832152138006,649.0135581334953,362.060824032,307.5297474973254,LKR Depreciation 20%
2025-07-01,1194.7588577279594,1584.7766006493218,652.7900226438236,362.060824032,312.9345720506403,LKR Depreciation 20%
2025-08-01,1193.9424588510217,1580.8965423095103,651.2734343370347,362.060824032,318.3331232693251,LKR Depreciation 20%
2025-09-01,1194.2173122892038,1582.7118266511568,651.882480201493,362.060824032,323.7296222030074,LKR Depreciation 20%
2025-10-01,1194.1247785846451,1581.8625463176072,651.6378938075762,362.060824032,329.12544994983085,LKR Depreciation 20%
2025-11-01,1194.1559315021273,1582.2598819131426,651.7361171230607,362.060824032,334.5210582543611,LKR Depreciation 20%
2025-12-01,1194.1454433856916,1582.0739885523255,651.6966716757885,362.060824032,339.91659483354334,LKR Depreciation 20%
2026-01-01,1194.148974373967,1582.1609587155433,651.7125125512755,362.060824032,345.3121079755888,LKR Depreciation 20%
2026-02-01,1194.147785611592,1582.1202697460349,651.7061510227963,362.060824032,350.7076134613171,LKR Depreciation 20%
2026-03-01,1194.14818582702,1582.1393060704295,651.7087057455213,362.060824032,356.1031164465708,LKR Depreciation 20%
2025-04-01,1178.1420673169243,1556.3203008879102,635.0009151152337,362.060824032,296.62319860627235,Export Shock (-15%)
2025-05-01,1183.1794415129089,1594.2098151662785,658.4173522508096,362.060824032,296.71100740447133,Export Shock (-15%)
2025-06-01,1159.8157057096905,1576.4832152138006,649.0135581334953,362.060824032,296.73923004127886,Export Shock (-15%)
2025-07-01,1145.8823590027246,1584.7766006493218,652.7900226438236,362.060824032,296.74830108250376,Export Shock (-15%)
2025-08-01,1128.818324731875,1580.8965423095103,651.2734343370347,362.060824032,296.75121660699796,Export Shock (-15%)
2025-09-01,1112.7934046331218,1582.7118266511568,651.882480201493,362.060824032,296.75215368609014,Export Shock (-15%)
