date,gross_reserves_usd_m,fx_reserves_usd_m,imf_position_usd_m,sdrs_usd_m,gold_usd_m,predetermined_short_term_net_drains_usd_m,fx_forward_short_positions_usd_m,exports_usd_m,imports_usd_m,tourism_earnings_usd_m,remittances_usd_m,usd_lkr,services_inflows_usd_m,services_outflows_usd_m,services_balance_usd_m,reserve_money_rs_m,m2_rs_m,m2b_rs_m,nfa_monetary_authorities_rs_m,nfa_commercial_banks_rs_m,m2b_nfa_rs_m,neer_index,reer_index,current_account_usd_m,current_account_plus_capital_usd_m,gross_external_debt_market_usd_m,short_term_external_debt_market_usd_m,long_term_external_debt_market_usd_m,banking_sector_external_liabilities_market_usd_m,gross_external_debt_face_usd_m,gross_external_debt_face_pct_gdp,central_bank_external_swap_liabilities_usd_m,external_debt_service_payments_usd_m,external_debt_service_amortization_usd_m,external_debt_service_interest_usd_m,debt_service_to_exports_services_pct,debt_service_to_external_receipts_pct,imports_trailing_3m_avg_usd_m,import_cover_months,reserve_net_drains_usd_m,adjusted_usable_reserves_usd_m,adjusted_usable_reserve_cover_months,trade_balance_usd_m,buffer_inflows_usd_m,buffer_inflows_share_imports,underlying_balance_official_usd_m,underlying_balance_proxy_usd_m,current_account_proxy_usd_m,current_account_filled_usd_m,underlying_balance_filled_usd_m,reserve_block_raw,usd_lkr_depreciation_raw,neer_depreciation_raw,reserve_change_pressure_raw,fx_market_pressure_raw,external_balance_pressure_user_raw,external_balance_pressure_adjusted_raw,buffer_inflow_support_raw,current_account_pressure_raw,short_term_external_debt_to_reserves_raw,external_debt_to_reserves_raw,debt_service_to_external_receipts_raw,gross_reserves_lkr_m,adjusted_usable_reserves_lkr_m,m2b_to_adjusted_reserves_raw,m2b_nfa_deterioration_raw,reserve_block_z,usd_lkr_depreciation_z,neer_depreciation_z,reserve_change_pressure_z,external_balance_pressure_user_z,external_balance_pressure_adjusted_z,buffer_inflow_support_z,current_account_pressure_z,short_term_external_debt_to_reserves_z,debt_service_to_external_receipts_z,m2b_to_adjusted_reserves_z,m2b_nfa_deterioration_z,fx_market_pressure_z,external_financing_pressure_z,resident_fx_liability_pressure_z,slepi_user_spec,slepi_legacy_adjusted,slepi_adjusted
1997-04-01,,,,,,,,,,,,,,,,77056.0,261357.0,297971.79591155,69987.0,-7745.0,62242.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003443278907861998,,,,,,,,,,,,,,,,,,
1997-05-01,,,,,,,,,,,,,,,,80255.0,262189.0,299265.14900606,69069.0,-9346.0,59723.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.008417284833754536,,,,,,,,,,,,,,,,,,
1997-06-01,,,,,,,,,,,,,,,,78342.0,265104.0,302030.72769555,69764.0,-8153.0,61611.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006251019604545412,,,,,,,,,,,,,,,,,,
1997-07-01,,,,,,,,,,,,,,,,76110.0,267601.0,307086.49977886,68602.0,-7107.0,61495.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003777437304587933,,,,,,,,,,,,,,,,,,
1997-08-01,,,,,,,,,,,,,,,,79612.0,271989.0,311191.76782656,93441.0,-7387.0,86054.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07891918276478234,,,,,,,,,,,,,,,,,,
1997-09-01,,,,,,,,,,,,,,,,80221.0,276994.0,317668.11679448,93952.0,-4810.0,89142.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009720837052079188,,,,,,,,,,,,,,,,,,
1997-10-01,,,,,,,,,,,,,,,,81932.0,279577.0,322404.10669252,92550.0,-2280.0,90270.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0034987147390023315,,,,,,,,,,,,,,,,,,
1997-11-01,,,,,,,,,,,,,,,,80359.0,281697.0,323583.45464725,92230.0,-2853.0,89377.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027597208298968546,,,,,,,,,,,,,,,,,,
1997-12-01,,,,,,,,,,,,,,,,83736.0,288258.0,333667.96261113003,89930.0,565.0,90495.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0033506363369472237,,,,,,,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,,,,,82146.0,289017.0,335827.01513205003,85124.0,2783.0,87907.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.007706348457351998,,,,,,,,,,,,0.6273295263515147,,,0.6273295263515147,,,
1998-02-01,,,,,,,,,,,,,,,,84633.0,291450.0,338717.85933024157,84305.0,4197.0,88502.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0017566242334446547,,,,,,,,,,,,0.06962080890010434,,,0.06962080890010434,,,
1998-03-01,,,,,,,,,,,,,,,,88608.0,297205.0,343609.4971709099,89465.0,4777.0,94242.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.016705009748740875,,,,,,,,,,,,-0.8019790001659659,,,-0.8019790001659659,,,
1998-04-01,,,,,,,,,,,,,,,,86493.0,297152.0,346675.6892966914,91168.0,-348.0,90820.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.00987089693812187,,,,,,,,,,,,0.7803986404804706,,,0.7803986404804706,,,
1998-05-01,,,,,,,,,,,,,,,,88794.0,298472.0,349938.2979430611,90552.0,975.0,91527.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002020356171804427,,,,,,,,,,,,0.05574139132580428,,,0.05574139132580428,,,
1998-06-01,,,,,,,,,,,,,,,,85297.0,296943.0,348565.6204957202,89687.0,-2189.0,87498.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.011558799156009906,,,,,,,,,,,,0.8710181569318688,,,0.8710181569318688,,,
1998-07-01,,,,,,,,,,,,,,,,88266.0,298677.0,349416.3887657348,89771.0,3250.0,93021.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.015806356477752047,,,,,,,,,,,,-0.8065396492795784,,,-0.8065396492795784,,,
1998-08-01,,,,,,,,,,,,,,,,88242.0,296505.0,349498.696272161,91014.0,8687.0,99701.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01911308989489953,,,,,,,,,,,,-0.9860907171563942,,,-0.9860907171563942,,,
1998-09-01,,,,,,,,,,,,,,,,89761.0,301678.0,355707.1133885875,92888.0,11629.0,104517.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.013539228816992549,,,,,,,,,,,,-0.6172597854652601,,,-0.6172597854652601,,,
1998-10-01,,,,,,,,,,,,,,,,88164.0,303514.0,362632.81148063997,91089.0,12740.0,103829.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.001897235931825575,,,,,,,,,,,,0.34325485567783914,,,0.34325485567783914,,,
1998-11-01,,,,,,,,,,,,,,,,89287.0,306637.0,366114.273326906,97161.0,3876.0,101037.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.007626034283309691,,,,,,,,,,,,0.6939352949375366,,,0.6939352949375366,,,
