init_scheme,runs,success_rate,convergence_rate,loglik_median,loglik_p05,loglik_p95,p_00_median,p_00_p05,p_00_p95,p_11_median,p_11_p05,p_11_p95,duration_regime_0_median,duration_regime_0_p05,duration_regime_0_p95,duration_regime_1_median,duration_regime_1_p05,duration_regime_1_p95,mean_max_probability_median,mean_max_probability_p05,mean_max_probability_p95,prob_corr_to_baseline_median,prob_corr_to_baseline_p05,prob_corr_to_baseline_p95,share_short_duration_lt_6,init_scheme_label
random_blocks,8,1.0,1.0,-5558.892718158504,-5790.63509011995,-5558.892718158489,0.9784164223963807,0.9720155840515255,0.9871439059316334,0.9245198200182525,0.9120652558203275,0.9528286770538135,46.3315219730908,35.89963588400914,95.90531943339909,13.248511069287574,11.505034690234918,22.858092786867534,0.9999822171989602,0.9955771809223383,0.9999822171990799,0.8880470292303289,0.8880470292302798,0.9348818150760989,0.0,Random block states
zeros,8,1.0,1.0,-5558.892718158515,-5558.892718158537,-5558.892718156356,0.9784164223963837,0.9784164223961537,0.9784164223963958,0.9245198200182172,0.9245198200181738,0.9245198200230719,46.33152197309735,46.331521972603525,46.33152197312323,13.248511069281367,13.248511069273746,13.248511070133475,0.999982217198889,0.9999822171987095,0.9999822172143296,0.8880470292304377,0.8880470292302313,0.8880470292387501,0.0,All-zero states
quantile_bins,8,1.0,1.0,-5661.795974550806,-5661.796000224042,-5661.795970266775,0.9706509222721267,0.9706509198802542,0.970650936606075,0.9053589467629737,0.9053588843793171,0.9053589571727856,34.0726209277194,34.07261815089086,34.07263756863168,10.566239129815333,10.566232164971025,10.566240292023132,0.9968171483004147,0.9968169337237217,0.9968171841063349,0.9112904785244564,0.911290362682545,0.911291172726446,0.0,Rolling-vol quantiles
vol_threshold,8,1.0,1.0,-5762.092178992934,-5762.092189808603,-5762.0921645396575,0.9745498628107125,0.9745496388179199,0.9745502382831467,0.9339823399422306,0.9339818985790981,0.9339830842022905,39.292519037221595,39.29217321715988,39.29309873808344,15.147462044713048,15.14736077651842,15.147632813760087,0.9961504911740935,0.9961497558054995,0.9961512069421521,0.9418079015614635,0.9418066441850416,0.9418091409559557,0.0,Rolling-vol threshold
perturbed_deterministic,8,1.0,1.0,-5762.092185261231,-5762.092189192587,-5762.092172347788,0.9745498835748733,0.9745497546800108,0.9745500005450274,0.9339823808477841,0.9339821260487556,0.9339826111289227,39.29255109476938,39.29235209434452,39.29273168637887,15.147471430248796,15.147412967869771,15.147524267499005,0.9961504028692796,0.9961501273201523,0.9961508681479633,0.9418080575762484,0.9418072447170768,0.941808539495162,0.0,Perturbed deterministic
random_iid,8,1.0,1.0,-5786.3208587521185,-5822.116282535267,-5661.79600394549,0.9726005383304733,0.8811638087569019,0.9918431526571588,0.9196708852229636,0.864766557250247,0.9629763100579419,36.682786758931464,8.414944893781177,122.59638548170595,12.856906566216532,7.394620598631996,27.00973354568162,0.9952677689329266,0.9608246340915529,0.9968169026200356,0.9112915748955839,0.733434257883262,0.9348821063639853,0.0,Random IID states
