n_regimes,runs,success_rate,convergence_rate,loglik_median,loglik_p05,loglik_p95,bic_median,bic_p05,bic_p95,mean_max_probability_median,mean_max_probability_p05,mean_max_probability_p95,mean_entropy_median,mean_entropy_p05,mean_entropy_p95,shortest_duration_months_median,shortest_duration_months_p05,shortest_duration_months_p95,smallest_regime_share_median,smallest_regime_share_p05,smallest_regime_share_p95,share_short_duration_lt_6
1,1,1.0,1.0,-5926.010500839296,-5926.010500839296,-5926.010500839296,12088.842060179311,12088.842060179311,12088.842060179311,1.0,1.0,1.0,0.0,0.0,0.0,inf,,,1.0,1.0,1.0,0.0
2,48,1.0,1.0,-5711.944107086347,-5806.004338104981,-5558.8927181584695,11908.05571155194,11601.952933696188,12096.17617358921,0.9964839139280588,0.9913946333595898,0.999982217199218,0.009986766269108462,0.00015099561803000812,0.023279584579867837,13.248511069329929,10.566222884464198,23.53155938226999,0.2849740932642487,0.27461139896373055,0.34844559585492224,0.0
3,40,1.0,1.0,-5490.627844471154,-5768.030603197022,-5406.891872537192,11723.295005577898,11555.823061709974,12278.100523029632,0.9787919269105385,0.9487962505623638,0.999978246329428,0.05898214999528732,0.00018454160113647426,0.12191249364488796,2.0333341059471155,1.1678737453522532,3.627175653013861,0.15544041450777202,0.025129533678756477,0.27461139896373055,0.95
