metric,Metric,Baseline,Median,P05,P95
p_00,Persistence $p_{00}$,0.9825306125959486,0.9745499432211328,0.9706509198802542,0.9871435511477641
p_11,Persistence $p_{11}$,0.9430806897281455,0.9245198200184939,0.9053588012542574,0.9554340266963947
duration_regime_0,Duration regime 0 (months),57.24299180451448,39.292643183034535,34.07261815089086,95.89998721441728
duration_regime_1,Duration regime 1 (months),17.568730106247983,13.248511069329929,10.566222884464198,23.53155938226999
mean_max_probability,Mean max probability,0.9968924209445971,0.9964839139280588,0.9913946333595898,0.999982217199218
mean_entropy,Mean entropy,0.011856861143882383,0.009986766269108462,0.00015099561803000812,0.023279584579867837
share_max_prob_ge_0_9,Share with max prob $\geq 0.90$,0.9948186528497409,0.9896373056994818,0.9727979274611399,1.0
prob_corr_to_baseline,Correlation with baseline low-state probability,1.0,0.9112910215839093,0.8880470292302313,0.9418088915522719
