date,actual,split,forecast
2020-01-01,-129.65947131918074,validation,-14.525414671013738
2020-02-01,428.78154091863234,validation,-60.273091735371594
2020-03-01,-407.77850094270616,validation,14.969635123829345
2020-04-01,-324.216468256046,validation,-43.65687555349957
2020-05-01,-709.6628496149051,validation,27.219567464816162
2020-06-01,194.790761938084,validation,-18.80386572320588
2020-07-01,401.18380911899294,validation,16.932527876937847
2020-08-01,334.2511841130481,validation,-1.5663509652420586
2020-09-01,-763.7620685071415,validation,13.94219224145868
2020-10-01,-810.5769970984475,validation,3.4342270853011945
2020-11-01,-300.46833828965464,validation,13.810285610746838
2020-12-01,108.98996653814083,validation,6.490266216400504
2021-01-01,-822.4025649789919,validation,12.608437411561093
2021-02-01,-258.86958034823874,validation,8.708239066030986
2021-03-01,-527.7934240235254,validation,11.840451916134466
2021-04-01,415.5384722242534,validation,9.73380044751742
2021-05-01,-437.907254314161,validation,11.52339636861102
2021-06-01,27.214690186192456,validation,10.259582440793709
2021-07-01,-1254.1617414865036,validation,11.303154216081754
2021-08-01,737.624819331953,validation,10.57934478652992
2021-09-01,-839.3216869378093,validation,11.15804638664441
2021-10-01,-434.9753525149295,validation,10.754509734084541
2021-11-01,-680.8396159420552,validation,11.077999188842758
2021-12-01,1550.8541298893667,validation,10.847622426138663
2022-01-01,-777.5812497257457,validation,11.031866959850573
2022-02-01,-50.39474376182807,validation,10.899840036904834
2022-03-01,-394.250466948733,validation,11.004067684670538
2022-04-01,-105.0,validation,10.929265462983242
2022-05-01,75.0,validation,10.987881065467715
2022-08-01,-170.0,validation,10.945502798158628
2022-09-01,62.0,validation,10.978634997961187
2022-11-01,27.0,validation,10.954512839505348
2022-12-01,92.0,validation,10.973281624514318
2023-01-01,223.0,test,10.959576455866728
2023-02-01,98.0,test,10.97018094559429
2023-03-01,475.0,test,10.962412126303239
2023-04-01,67.0,test,10.968405134686797
2023-05-01,730.0,test,10.963996197491404
2023-06-01,233.0,test,10.967388537769843
2023-07-01,41.0,test,10.964885707230756
2023-08-01,-165.0,test,10.966805375093049
2023-09-01,-60.0,test,10.965386004141422
2023-10-01,29.0,test,10.96647197194727
2023-11-01,2.0,test,10.965667114536142
2023-12-01,821.0,test,10.966281771164773
2024-01-01,104.0,test,10.965825283301662
2024-02-01,24.0,test,10.966173251507985
2024-03-01,440.0,test,10.965914412979767
2024-04-01,511.0,test,10.96611138841494
2024-05-01,-61.0,test,10.965964651964592
2024-06-01,244.0,test,10.9660761672977
2024-07-01,-2.0,test,10.965992982163547
2024-08-01,307.0,test,10.966056125343162
2024-09-01,35.0,test,10.96600897035621
2024-10-01,478.0,test,10.966044725393107
2024-11-01,-21.0,test,10.966017997788725
2024-12-01,-329.0,test,10.966038244977307
2025-01-01,-57.0,test,10.966023096553393
2025-02-01,21.0,test,10.966034562912316
2025-03-01,445.0,test,10.96602597751876
2025-04-01,-204.0,test,10.966032471487067
2025-05-01,-41.0,test,10.966027605961607
2025-06-01,-205.0,test,10.96603128393463
2025-07-01,66.0,test,10.966028526667964
2025-08-01,31.0,test,10.966030609832305
2025-09-01,66.0,test,10.966029047351224
2025-10-01,-28.0,test,10.966030227277633
2025-11-01,-182.0,test,10.966029341880796
