date,actual,split,forecast
2020-01-01,7512.733529432759,validation,7446.724705502771
2020-02-01,7941.515070351391,validation,6997.739547837625
2020-03-01,7533.736569408685,validation,6750.432203404438
2020-04-01,7209.520101152639,validation,7910.82769728327
2020-05-01,6499.857251537734,validation,7695.732827223814
2020-06-01,6694.648013475818,validation,7831.772678953894
2020-07-01,7095.831822594811,validation,7656.404409950532
2020-08-01,7430.083006707859,validation,7439.064062580697
2020-09-01,6666.320938200717,validation,7777.089280243474
2020-10-01,5855.74394110227,validation,7734.937415122164
2020-11-01,5555.275602812615,validation,7454.7654966680475
2020-12-01,5664.265569350756,validation,8066.4362067439015
2021-01-01,4841.863004371764,validation,7285.843742165256
2021-02-01,4582.993424023525,validation,7541.445897130572
2021-03-01,4055.2,validation,7780.650581019647
2021-04-01,4470.738472224253,validation,7594.620122345423
2021-05-01,4032.831217910092,validation,7752.69042301647
2021-06-01,4060.0459080962846,validation,8039.687168341078
2021-07-01,2805.884166609781,validation,7723.819182095004
2021-08-01,3543.508985941734,validation,7927.348725669717
2021-09-01,2704.1872990039246,validation,7800.526376679624
2021-10-01,2269.211946488995,validation,7854.238009477458
2021-11-01,1588.37233054694,validation,7858.339432508154
2021-12-01,3139.2264604363068,validation,7903.9873428739675
2022-01-01,2361.645210710561,validation,7614.349324761292
2022-02-01,2311.250466948733,validation,7779.590343037945
2022-03-01,1917.0,validation,7700.763646511907
2022-04-01,1812.0,validation,7718.962701849337
2022-05-01,1887.0,validation,7726.218951470317
2022-06-01,1854.0,validation,8076.064961487258
2022-07-01,1817.0,validation,7837.459970032377
2022-08-01,1717.0,validation,7930.083734464935
2022-09-01,1779.0,validation,7964.961172334921
2022-10-01,1705.0,validation,7970.862796451556
2022-11-01,1806.0,validation,8030.873973897706
2022-12-01,1898.0,validation,8087.021599634321
2023-01-01,2121.0,test,7810.871927787855
2023-02-01,2219.0,test,7997.976896102913
2023-03-01,2694.0,test,7776.430597023435
2023-04-01,2761.0,test,7877.20880516174
2023-05-01,3491.0,test,7950.847469071173
2023-06-01,3724.0,test,7987.868597051331
2023-07-01,3765.0,test,7957.048107859844
2023-08-01,3600.0,test,8085.499197788896
2023-09-01,3540.0,test,7952.78589073684
2023-10-01,3569.0,test,8137.874766530309
2023-11-01,3571.0,test,8117.204526780007
2023-12-01,4392.0,test,8132.903775212664
2024-01-01,4496.0,test,8063.316583002445
2024-02-01,4520.0,test,8105.602356913736
2024-03-01,4960.0,test,7987.923095742892
2024-04-01,5471.0,test,8097.59409176206
2024-05-01,5410.0,test,8051.317280754696
2024-06-01,5654.0,test,8146.962264971706
2024-07-01,5652.0,test,8112.456974433837
2024-08-01,5959.0,test,8163.005427074604
2024-09-01,5994.0,test,8096.307511021091
2024-10-01,6472.0,test,8239.287752574772
2024-11-01,6451.0,test,8207.817652562408
2024-12-01,6122.0,test,8230.795467974905
2025-01-01,6065.0,test,8213.602214317361
2025-02-01,6086.0,test,8238.823750383392
2025-03-01,6531.0,test,8141.176951568072
2025-04-01,6327.0,test,8255.48243442381
2025-05-01,6286.0,test,8189.771755043814
2025-06-01,6081.0,test,8277.602385211208
2025-07-01,6147.0,test,8271.66023627932
2025-08-01,6178.0,test,8254.131376537047
2025-09-01,6244.0,test,8255.828085639037
2025-10-01,6216.0,test,8368.776392840155
2025-11-01,6034.0,test,8283.487558982259
2025-12-01,6825.0,test,8378.012853102111
