date,actual,split,forecast
2020-01-01,7512.733529432759,validation,7452.797745777004
2020-02-01,7941.515070351391,validation,7396.215399156635
2020-03-01,7533.736569408685,validation,7503.255431480523
2020-04-01,7209.520101152639,validation,7303.147401399863
2020-05-01,6499.857251537734,validation,7347.731270144743
2020-06-01,6694.648013475818,validation,7394.223100874783
2020-07-01,7095.831822594811,validation,7375.354783862834
2020-08-01,7430.083006707859,validation,7383.388937187279
2020-09-01,6666.320938200717,validation,7295.308857446269
2020-10-01,5855.74394110227,validation,7307.005274715652
2020-11-01,5555.275602812615,validation,7267.071497774674
2020-12-01,5664.265569350756,validation,7351.352361649621
2021-01-01,4841.863004371764,validation,7098.441725782837
2021-02-01,4582.993424023525,validation,6742.948434576004
2021-03-01,4055.2,validation,6407.1356073212255
2021-04-01,4470.738472224253,validation,6451.927231779733
2021-05-01,4032.831217910092,validation,6344.271861232786
2021-06-01,4060.0459080962846,validation,6230.193741662834
2021-07-01,2805.884166609781,validation,6144.649672082289
2021-08-01,3543.508985941734,validation,5835.4734174554815
2021-09-01,2704.1872990039246,validation,6064.184475131533
2021-10-01,2269.211946488995,validation,5800.55740442777
2021-11-01,1588.37233054694,validation,5678.547041478682
2021-12-01,3139.2264604363068,validation,5653.619146895849
2022-01-01,2361.645210710561,validation,5650.124458048722
2022-02-01,2311.250466948733,validation,5597.8013830680475
2022-03-01,1917.0,validation,2940.714071799468
2022-04-01,1812.0,validation,1663.905757369901
2022-05-01,1887.0,validation,1238.2605997254486
2022-06-01,1854.0,validation,1211.4952747869775
2022-07-01,1817.0,validation,1186.0912117757744
2022-08-01,1717.0,validation,1136.5665289555127
2022-09-01,1779.0,validation,1279.21578952663
2022-10-01,1705.0,validation,1237.7565049108798
2022-11-01,1806.0,validation,1284.5510168505934
2022-12-01,1898.0,validation,1391.3375816415883
2023-01-01,2121.0,test,1403.985361660023
2023-02-01,2219.0,test,1512.334927851718
2023-03-01,2694.0,test,2731.281124752817
2023-04-01,2761.0,test,2664.0011997463407
2023-05-01,3491.0,test,3362.5337246724994
2023-06-01,3724.0,test,3007.2640820175184
2023-07-01,3765.0,test,2490.3636295639244
2023-08-01,3600.0,test,2555.300994002857
2023-09-01,3540.0,test,2578.0869756619013
2023-10-01,3569.0,test,2472.0774371986554
2023-11-01,3571.0,test,2495.577087608068
2023-12-01,4392.0,test,2655.1274764192767
2024-01-01,4496.0,test,2725.546434957074
2024-02-01,4520.0,test,2921.0572145454407
2024-03-01,4960.0,test,3235.8065690914427
2024-04-01,5471.0,test,3482.174666873452
2024-05-01,5410.0,test,3277.29415392189
2024-06-01,5654.0,test,3077.7269660918646
2024-07-01,5652.0,test,3115.026849924694
2024-08-01,5959.0,test,3166.5618019932062
2024-09-01,5994.0,test,3276.373975935112
2024-10-01,6472.0,test,3393.6044313824514
2024-11-01,6451.0,test,3545.028542790651
2024-12-01,6122.0,test,3413.7828447377524
2025-01-01,6065.0,test,3280.0764507491403
2025-02-01,6086.0,test,3417.9987764404104
2025-03-01,6531.0,test,3454.7307774821566
2025-04-01,6327.0,test,3409.4939771654535
2025-05-01,6286.0,test,3437.8416365917674
2025-06-01,6081.0,test,3294.5802744550256
2025-07-01,6147.0,test,3168.035100792009
2025-08-01,6178.0,test,3212.5919239483173
2025-09-01,6244.0,test,3177.152162532562
2025-10-01,6216.0,test,3103.8584646066774
2025-11-01,6034.0,test,3187.0158281159147
2025-12-01,6825.0,test,3137.333284990553
